ticker,last,prev_close,chg,asof_utc
APLD,26.36,27.23,-0.032089617789181846,2026-09-24T15:49:11Z
IREN,45.53,47.05,-0.03219977500988136,2026-09-24T15:49:11Z
LEU,146.38,151.31,-0.03258206830564614,2026-09-24T15:49:11Z
SMCI,40.08,41.44,-0.03269786648503892,2026-09-24T15:49:11Z
NXE,9.31,9.63,-0.03271033544280544,2026-09-24T15:49:11Z
SMR,8.38,8.68,-0.03457376912292731,2026-09-24T15:49:11Z
JEF,45.17,46.98,-0.038527062386703004,2026-09-24T15:49:11Z
ALG,158.26,164.64,-0.0387208456245951,2026-09-24T15:49:11Z
PRCT,17.39,18.09,-0.03897180308233439,2026-09-24T15:49:11Z
ORCL,137.98,144.56,-0.045517445643201926,2026-09-24T15:49:11Z
UEC,9.41,9.95,-0.05440199299725079,2026-09-24T15:49:11Z
DNN,2.65,2.82,-0.058510626155685475,2026-09-24T15:49:11Z
ACAD,23.32,25.43,-0.08297288969839745,2026-09-24T15:49:11Z
SNX,252.23,287.89,-0.12388345675766788,2026-09-24T15:49:11Z
