date,ticker,close
2026-08-24,AAOI,107.62999725341797
2026-08-24,AAON,76.00241088867188
2026-08-24,ACAD,29.649999618530273
2026-08-24,ACHC,28.719999313354492
2026-08-24,AEP,121.9800033569336
2026-08-24,AGX,468.9800109863281
2026-08-24,ALAB,277.5299987792969
2026-08-24,ALG,165.24000549316406
2026-08-24,ALRM,57.58000183105469
2026-08-24,AMD,456.75
2026-08-24,AMZN,262.07000732421875
2026-08-24,APLD,26.889999389648438
2026-08-24,APPF,225.10000610351562
2026-08-24,AVGO,358.10791015625
2026-08-24,AYI,336.5899963378906
2026-08-24,AZZ,140.75999450683594
2026-08-24,BOOT,161.80999755859375
2026-08-24,BRZE,31.440000534057617
2026-08-24,BWXT,149.52000427246094
2026-08-24,CCJ,102.2699966430664
2026-08-24,CEG,273.42999267578125
2026-08-24,CIEN,371.95001220703125
2026-08-24,CLS,294.57000732421875
2026-08-24,COHR,275.489990234375
2026-08-24,CORZ,17.270000457763672
2026-08-24,CRDO,222.61000061035156
2026-08-24,CRWV,86.25
2026-08-24,CW,614.969970703125
2026-08-24,D,65.94380187988281
2026-08-24,DLR,187.2659149169922
2026-08-24,DNN,3.5399999618530273
2026-08-24,ESE,275.6199951171875
2026-08-24,ESNT,68.12218475341797
2026-08-24,ETR,105.79000091552734
2026-08-24,FLR,51.279998779296875
2026-08-24,FN,421.1400146484375
2026-08-24,FSS,119.77999877929688
2026-08-24,GBX,46.08000183105469
2026-08-24,GEV,942.0999755859375
2026-08-24,GFF,101.1546630859375
2026-08-24,GOOGL,347.83642578125
2026-08-24,HUBB,465.3180847167969
2026-08-24,IESC,324.1199951171875
2026-08-24,IREN,39.810001373291016
2026-08-24,IWM,297.19378662109375
2026-08-24,JEF,51.90999984741211
2026-08-24,KBH,55.63999938964844
2026-08-24,KVYO,18.200000762939453
2026-08-24,LEU,177.13999938964844
2026-08-24,LITE,830.1699829101562
2026-08-24,LNTH,100.80000305175781
2026-08-24,MDY,692.7860717773438
2026-08-24,META,558.5792236328125
2026-08-24,MIR,14.680000305175781
2026-08-24,MOD,188.3699951171875
2026-08-24,MPWR,1285.030029296875
2026-08-24,MSFT,487.30999755859375
2026-08-24,MTN,150.0
2026-08-24,MTZ,255.36000061035156
2026-08-24,MYRG,305.2699890136719
2026-08-24,NBIS,210.91000366210938
2026-08-24,NNE,18.270000457763672
2026-08-24,NRG,111.77999877929688
2026-08-24,NVDA,208.24697875976562
2026-08-24,NVT,153.35000610351562
2026-08-24,NXE,10.930000305175781
2026-08-24,OKLO,39.689998626708984
2026-08-24,OLLI,76.3499984741211
2026-08-24,OMCL,34.65999984741211
2026-08-24,ONTO,282.9100036621094
2026-08-24,ORCL,142.4499969482422
2026-08-24,PCOR,62.09000015258789
2026-08-24,PEG,72.86640167236328
2026-08-24,PIPR,74.59957122802734
2026-08-24,PLNT,53.86000061035156
2026-08-24,PNW,97.70999908447266
2026-08-24,POWL,188.97999572753906
2026-08-24,PRCT,21.25
2026-08-24,PRIM,75.13999938964844
2026-08-24,PWR,616.780029296875
2026-08-24,RLI,66.43354034423828
2026-08-24,SHAK,75.44000244140625
2026-08-24,SKWD,57.91999816894531
2026-08-24,SMCI,35.16999816894531
2026-08-24,SMR,9.050000190734863
2026-08-24,SNX,243.64999389648438
2026-08-24,SO,90.0999984741211
2026-08-24,SPY,761.5787963867188
2026-08-24,THO,79.41999816894531
2026-08-24,TLN,305.5350036621094
2026-08-24,TRN,29.690000534057617
2026-08-24,TSM,409.022705078125
2026-08-24,UEC,12.510000228881836
2026-08-24,URG,1.4299999475479126
2026-08-24,UUUU,14.880000114440918
2026-08-24,VIRT,66.04762268066406
2026-08-24,VRT,254.9075164794922
2026-08-24,VST,135.43820190429688
2026-08-24,WING,116.83999633789062
2026-08-24,WULF,15.479999542236328
2026-08-24,XLU,42.9045295715332
2026-08-25,AAOI,113.1500015258789
2026-08-25,AAON,76.09230041503906
2026-08-25,ACAD,30.56999969482422
2026-08-25,ACHC,29.8700008392334
2026-08-25,AEP,122.7699966430664
2026-08-25,AGX,450.4599914550781
2026-08-25,ALAB,282.6499938964844
2026-08-25,ALG,162.0800018310547
2026-08-25,ALRM,56.7599983215332
2026-08-25,AMD,479.17999267578125
2026-08-25,AMZN,261.05999755859375
2026-08-25,APLD,28.850000381469727
2026-08-25,APPF,223.0500030517578
2026-08-25,AVGO,356.091552734375
2026-08-25,AYI,339.95001220703125
2026-08-25,AZZ,138.50999450683594
2026-08-25,BOOT,159.69000244140625
2026-08-25,BRZE,30.799999237060547
2026-08-25,BWXT,149.72999572753906
2026-08-25,CCJ,106.95999908447266
2026-08-25,CEG,278.4200134277344
2026-08-25,CIEN,387.6600036621094
2026-08-25,CLS,306.8599853515625
2026-08-25,COHR,288.1400146484375
2026-08-25,CORZ,18.030000686645508
2026-08-25,CRDO,226.50999450683594
2026-08-25,CRWV,88.04000091552734
2026-08-25,CW,609.7100219726562
2026-08-25,D,66.26060485839844
2026-08-25,DLR,191.01025390625
2026-08-25,DNN,3.7200000286102295
2026-08-25,ESE,276.82000732421875
2026-08-25,ESNT,68.64949035644531
2026-08-25,ETR,106.23999786376953
2026-08-25,FLR,51.2599983215332
2026-08-25,FN,431.5400085449219
2026-08-25,FSS,120.6500015258789
2026-08-25,GBX,46.15999984741211
2026-08-25,GEV,926.72998046875
2026-08-25,GFF,101.1546630859375
2026-08-25,GOOGL,346.73712158203125
2026-08-25,HUBB,462.7560119628906
2026-08-25,IESC,313.2300109863281
2026-08-25,IREN,42.209999084472656
2026-08-25,IWM,298.4505310058594
2026-08-25,JEF,52.45000076293945
2026-08-25,KBH,57.11000061035156
2026-08-25,KVYO,17.600000381469727
2026-08-25,LEU,193.38999938964844
2026-08-25,LITE,885.5650024414062
2026-08-25,LNTH,100.87000274658203
2026-08-25,MDY,692.337158203125
